anime_id,name,genre,type,episodes,rating,members,combined_features
32281,Kimi no Na wa.,"Drama, Romance, School, Supernatural",Movie,1,9.37,200630,"kimi no na wa. drama, romance, school, supernatural movie"
5114,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,64,9.26,793665,"fullmetal alchemist: brotherhood action, adventure, drama, fantasy, magic, military, shounen tv"
28977,Gintama°,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.25,114262,"gintama° action, comedy, historical, parody, samurai, sci-fi, shounen tv"
9253,Steins;Gate,"Sci-Fi, Thriller",TV,24,9.17,673572,"steins;gate sci-fi, thriller tv"
9969,Gintama&#039;,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.16,151266,"gintama&#039; action, comedy, historical, parody, samurai, sci-fi, shounen tv"
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,"Comedy, Drama, School, Shounen, Sports",TV,10,9.15,93351,"haikyuu!!: karasuno koukou vs shiratorizawa gakuen koukou comedy, drama, school, shounen, sports tv"
11061,Hunter x Hunter (2011),"Action, Adventure, Shounen, Super Power",TV,148,9.13,425855,"hunter x hunter (2011) action, adventure, shounen, super power tv"
820,Ginga Eiyuu Densetsu,"Drama, Military, Sci-Fi, Space",OVA,110,9.11,80679,"ginga eiyuu densetsu drama, military, sci-fi, space ova"
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,9.1,72534,"gintama movie: kanketsu-hen - yorozuya yo eien nare action, comedy, historical, parody, samurai, sci-fi, shounen movie"
15417,Gintama&#039;: Enchousen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13,9.11,81109,"gintama&#039;: enchousen action, comedy, historical, parody, samurai, sci-fi, shounen tv"
4181,Clannad: After Story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,24,9.06,456749,"clannad: after story drama, fantasy, romance, slice of life, supernatural tv"
28851,Koe no Katachi,"Drama, School, Shounen",Movie,1,9.05,102733,"koe no katachi drama, school, shounen movie"
918,Gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201,9.04,336376,"gintama action, comedy, historical, parody, samurai, sci-fi, shounen tv"
2904,Code Geass: Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25,8.98,572888,"code geass: hangyaku no lelouch r2 action, drama, mecha, military, sci-fi, super power tv"
28891,Haikyuu!! Second Season,"Comedy, Drama, School, Shounen, Sports",TV,25,8.93,179342,"haikyuu!! second season comedy, drama, school, shounen, sports tv"
199,Sen to Chihiro no Kamikakushi,"Adventure, Drama, Supernatural",Movie,1,8.93,466254,"sen to chihiro no kamikakushi adventure, drama, supernatural movie"
23273,Shigatsu wa Kimi no Uso,"Drama, Music, Romance, School, Shounen",TV,22,8.92,416397,"shigatsu wa kimi no uso drama, music, romance, school, shounen tv"
24701,Mushishi Zoku Shou 2nd Season,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.88,75894,"mushishi zoku shou 2nd season adventure, fantasy, historical, mystery, seinen, slice of life, supernatural tv"
12355,Ookami Kodomo no Ame to Yuki,"Fantasy, Slice of Life",Movie,1,8.84,226193,"ookami kodomo no ame to yuki fantasy, slice of life movie"
1575,Code Geass: Hangyaku no Lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,25,8.83,715151,"code geass: hangyaku no lelouch action, mecha, military, school, sci-fi, super power tv"
263,Hajime no Ippo,"Comedy, Drama, Shounen, Sports",TV,75,8.83,157670,"hajime no ippo comedy, drama, shounen, sports tv"
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Drama, Historical, Martial Arts, Romance, Samurai",OVA,4,8.83,129307,"rurouni kenshin: meiji kenkaku romantan - tsuioku-hen action, drama, historical, martial arts, romance, samurai ova"
1,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,8.82,486824,"cowboy bebop action, adventure, comedy, drama, sci-fi, space tv"
